account_id,account_name,industry,sub_industry,matched_name,matched_industry,fees_inc_vat,revenue,tickets,transactions,last_txn
4522.0,Jigsaw Stage Productions,Theatres,,True,True,205.05,3276.0,271,127,2026-05-25
9851.0,Burntwood Brigades,Theatres,,False,True,204.88,2820.0,638,154,2026-02-06
6646.0,Drama CVMS,Education,Independent School - Senior,True,False,203.95,3068.0,346,189,2026-05-14
19121.0,Richmond upon Thames Performing Arts Festival,Festival,Music,True,False,203.1,2757.0,430,252,2026-05-13
13167.0,Cardboard Box Theatre,Theatres,,True,True,184.19,2610.0,347,132,2026-05-21
4589.0,Harrogate Theatre Choir,Music,Choir,True,False,183.58,2930.5,264,119,2026-05-24
4970.0,Rhinoceros Theatre Company,Theatres,,True,True,179.4,3120.0,156,83,2025-11-08
8400.0,Wonderland Stagestars,Theatres,,True,True,178.5,2856.0,238,89,2025-11-22
13615.0,Wilberfoss Amateur Theatre Society,Theatres,AMDRAM,True,True,176.6,2308.0,401,197,2026-05-25
15968.0,Barrow Operatic Dramatic Society,Music,Choir,True,False,176.4,2700.0,270,123,2025-09-04
7739.0,RSM STAGE ACADEMY,Theatres,,True,True,175.3,2855.0,246,113,2026-05-24
18169.0,Ottery Community Theatre,Theatres,,True,True,173.65,2591.0,342,147,2026-05-17
15598.0,Street Katz Theatre and Film CIC,Community,CIC,True,False,163.6,2240.0,361,135,2026-05-24
9450.0,The Complete Commedia Company,Theatres,,False,True,160.05,2610.0,199,81,2025-12-17
4632.0,The Buildwas Players,Theatres,,True,True,155.25,2325.0,274,98,2026-02-03
18787.0,Westward Ho! Follies,Theatres,AMDRAM,False,True,145.65,2980.0,407,168,2026-02-22
9605.0,CADS,Theatres,,False,True,137.25,2142.0,192,73,2026-02-07
18194.0,Play on productions,Business,,True,False,130.2,2004.0,289,173,2026-03-09
10982.0,Zanobini Academy of Performing Arts,Dance,,True,False,122.45,1861.0,193,65,2026-05-14
13076.0,Staveley Amateur Operatic Society,Music,Choir,True,False,120.15,1992.0,182,69,2026-04-26
17792.0,Reflect Productions,Theatres,,True,True,111.44,1640.5,193,112,2025-12-15
13536.0,All Saints Pantomime Society,Theatres,AMDRAM,True,True,111.27,1581.0,340,132,2026-01-31
4778.0,Premier Drama Academy,Dance,,True,False,100.95,1389.0,210,78,2025-12-07
17492.0,ROM Theatre Arts,Theatres,,True,True,95.61,1428.15,161,44,2025-12-01
13341.0,Exeter Stagecoach Theatre School,Theatres,,True,True,89.3,1105.0,302,99,2025-12-07
17616.0,Cardinal Heenan Catholic High School Performing Arts,Education,Independent School - Senior,True,False,87.7,1130.0,222,126,2026-04-30
16410.0,WAOS Musical Theatre,Theatres,,True,True,87.1,1340.0,134,61,2025-09-06
11090.0,UN ŒUF PRODUCTIONS,Music,,True,False,86.46,1270.0,128,112,2026-05-09
8753.0,Theatre in the Garden,Theatres,Venue,True,True,86.03,1535.0,59,58,2025-08-08
19129.0,Oakley Players,Theatres,,True,True,84.9,1410.0,94,45,2026-03-19
8302.0,Gemini School of Performing Arts,Dance,,True,False,84.9,1410.0,101,40,2025-07-05
13169.0,Kursat Karaman,Theatres,,False,True,82.65,1350.0,101,61,2026-05-15
5141.0,BillBoard Juniors,Theatres,,False,True,77.75,1228.0,109,54,2025-07-04
1783.0,The Play Group,Theatres,,False,True,74.85,1110.0,111,82,2025-11-16
4049.0,Crediton Youth Theatre,Theatres,,True,True,74.7,996.0,166,70,2025-08-30
10374.0,Mavi Productions Ltd.,Business,,True,False,66.91,1146.0,72,48,2025-05-31
